ID,Name,Status,Original German,Founding year,Founder,Linkedin-Account Founder,Legal Name,Legal form,Street,Postal code,City,Country,Register Number/ Company ID/ LEI,Segment,Subsegment,Bank Cooperation,Homepage,E-Mail,Insolvency,Liquidation,Date of inactivity,Local court,Former name
1,CRX Markets,1,1.0,2012.0,Moritz von der Linden; Carlo Kölzer,https://www.linkedin.com/in/moritz-von-der-linden-7b801b1/,CRX Markets AG,AG,Landsberger Str. 191,80687,München,Germany,HRB 222809,Financing,Credit and Factoring,1,https://www.crxmarkets.com/de/,support@crxmarkets.com,0,0,,München,
2,aifinyo,1,1.0,2014.0,Andreas Dubrow; Philipp Kalwies,https://www.linkedin.com/in/andreas-dubrow/; https://www.linkedin.com/in/philipp-kalwies-53853b76/,aifinyo AG,AG,Tiergartenstraße 8,01219,Dresden,Germany,HRB 37257,Financing,Credit and Factoring,0,https://www.aifinyo.de/,"andreas.dubrow@decimo.de
info@aifinyo.de",0,0,,Dresden,Rechnung48
3,fundflow,1,1.0,2016.0,Joachim Kaune; Antonio Faralli,https://www.linkedin.com/in/joachim-kaune-26ab8846/; https://www.linkedin.com/in/antoniofaralli/,Fundflow GmbH,GmbH,Prenzlauer Allee 53,10405,Berlin,Germany,HRB 173662 B,Financing,Credit and Factoring,1,https://fundflow.de/,info@fundflow.de,0,0,,Berlin (Charlottenburg),
4,WIR BEWEGEN SH,1,1.0,2015.0,Investitionsbank Schleswig-Holstein,,Investitionsbank Schleswig-Holstein (IB.SH),Anstalt des öffentlichen Rechts,Fleethörn 29-31 ,24103,Kiel,Germany,HRA 4310 ,Financing,Donation-based Crowdfunding,0,https://www.wir-bewegen.sh/,info@wir-bewegen.sh,0,0,,Kiel,
5,Zusammen Gutes tun,1,1.0,2016.0,,,Evangelische Bank eG,eG,Kohlenstraße 132,34121,Kassel,Germany,GnR 371,Financing,Donation-based Crowdfunding,0,https://www.zusammen-gutes-tun.de/,info@eb.de,0,0,,Kassel,
6,EXPORO Investment GmbH,1,1.0,2014.0,Bjorn Maronde; Julian Oertzen; Simon Brunke; Tim Butecke,https://www.linkedin.com/in/bjoern-maronde-a2496513/; https://www.linkedin.com/in/julian-oertzen-25a041a0/; https://www.linkedin.com/in/simon-brunke-7b0a0b108/; https://www.linkedin.com/in/tim-bütecke-44971364/,Exporo Investment GmbH,AG,Am Sandtorkai 70,20457,Hamburg,Germany,HRB 146341,Financing,Crowdlending,0,https://exporo.de/,info@exporo.de,0,0,,Hamburg,
7,EXPORO AG,1,1.0,2014.0,Bjorn Maronde; Julian Oertzen; Simon Brunke; Tim Butecke,https://www.linkedin.com/in/bjoern-maronde-a2496513/; https://www.linkedin.com/in/julian-oertzen-25a041a0/; https://www.linkedin.com/in/simon-brunke-7b0a0b108/; https://www.linkedin.com/in/tim-bütecke-44971364/,Exporo AG,AG,Am Sandtorkai 70,20457,Hamburg,Germany,HRB 134393,Financing,Crowdlending,0,https://exporo.de/,info@exporo.de,0,0,,Hamburg,
8,Ferratum,1,0.0,2005.0,Jorma Jokela,https://www.linkedin.com/in/jokela-jorma-599b574,Ferratum Bank p.l.c,P.L.C.,"120, The Strand",GZR 1027,Malta,Malta,C- 56251,Financing,Credit and Factoring,0,https://www.ferratum.de/,service.de@ferratumbank.com,0,0,,0,
9,PrestaCap,0,0.0,2015.0,Christian Nothacker; Alex Riesenkampff; Alessandro Felisi; Ram Chawla,https://www.linkedin.com/in/nothacker/; https://www.linkedin.com/in/alex-riesenkampff-9167b365/; https://www.linkedin.com/in/alessandro-felisi-5a24b249/; https://www.linkedin.com/in/ram-chawla-3baa951a/,PrestaCap Ltd.,Ltd.,8 Devonshire Square,EC2M 4PL,London,England,9289254,Financing,Credit and Factoring,0,,info@prestacap.com,0,0,Jul 2019,0,iBondis
10,SEEDRS,1,0.0,2012.0,Carlos Silva; Jeff Lynn,https://www.linkedin.com/in/cmsilva; https://www.linkedin.com/in/jefflynn/,Seedrs Ltd.,Ltd.,"Churchill House, 142-146 Old Street",EC1V 9BW,London,England,6848016,Financing,Crowdinvesting,0,https://www.seedrs.com/,support@seedrs.com,0,0,,0,
11,Billie,1,1.0,2016.0,Christian Grobe; Matthias Knecht,https://www.linkedin.com/in/christian-grobe-91b72584/; https://www.linkedin.com/in/matthiasknecht/,Billie GmbH,GmbH,Charlottenstraße 4,10969,Berlin,Germany,HRB 182428 B,Financing,Credit and Factoring,0,https://www.billie.io/,info@billie.io,0,0,,Berlin (Charlottenburg),
12,aescuvest,1,1.0,2014.0,Patrick Pfeffer,https://www.linkedin.com/in/patrickpfeffer/,aescuvest GmbH,GmbH,Hanauer Landstr. 328-330,60314,Frankfurt am Main,Germany,HRB 100439,Financing,Crowdinvesting,0,https://www.aescuvest.de,kontakt@aescuvest.de,0,0,,Frankfurt am Main,
13,auxmoney,1,1.0,2007.0,Philipp Kriependorf; Philip Kamp; Raffael Johnen,https://www.linkedin.com/in/philipp-kriependorf-512052147/; https://www.linkedin.com/in/philip-kamp-47298990/; https://www.linkedin.com/in/raffael-johnen-97942a/,auxmoney GmbH,GmbH,Kasernenstraße 67,40213,Düsseldorf,Germany,HRB 56768,Financing,Crowdlending,1,https://www.auxmoney.com,institutional@auxmoney.com,0,0,,Düsseldorf,
14,smava,1,1.0,2007.0,Alexander Artopé; Eckart Vierkant,https://www.linkedin.com/in/alexander-artope-b87/; https://www.linkedin.com/in/eckart-vierkant-7846273/,smava GmbH,GmbH,Palisadenstraße 90,10243,Berlin,Germany,HRB 97913,Financing,Credit and Factoring,1,https://www.smava.de/,info@smava.de,0,0,,Berlin (Charlottenburg),
15,zinscrowd,1,1.0,2016.0,,,Zinscrowd GmbH,GmbH,Hopfenstr. 1d,24114,Kiel,Germany,HRB 20949 KI,Financing,Crowdinvesting,0,https://www.zinscrowd.online/,info@zinscrowd.de,0,0,,Kiel,
16,Anlagehafen,1,1.0,2020.0,"Jamal El Mallouki, Stefan Erlich und Johannes Laub",https://www.linkedin.com/in/jamalelmallouki/; https://www.linkedin.com/in/johannes-laub/,Anlagehafen GmbH & Co. KG,GmbH & Co. KG,Baseler Str. 10,60329,Frankfurt am Main,Germany,HRA 51101,Financing,Crowdinvesting,1,https://www.anlagehafen.de/,kontakt@anlagehafen.de,0,0,,Frankfurt am Main,
17,Eurodo,1,1.0,2020.0,Sanas Papahn Behbahani,,EURODO GmbH,GmbH,Heerdter Landstraße 191,40549,Düsseldorf,Germany,HRB 84344,Financing,Crowdinvesting,0,https://eurodo.de/,service@eurodo.de,0,0,,Düsseldorf,
18,Mercurcap,1,1.0,2020.0,,,Frankfurter Finanzanlagenvermittlung GmbH,GmbH,Baseler Straße 10,60329,Frankfurt am Main,Germany,HRB 116134,Financing,Crowdinvesting,1,https://mercurcap.de/,kontakt@ffav.de,0,0,,Frankfurt am Main,
19,Bergfürst,1,1.0,2011.0,Guido Sandler; Dennis Bemmann,https://www.linkedin.com/in/guidosandler/; https://www.linkedin.com/in/denniscb/,BERGFÜRST AG,AG,Schumannstrasse 18 ,10117,Berlin,Germany,HRB 139567 B ,Financing,Crowdlending,1,https://de.bergfuerst.com/,service@bergfuerst.com,0,0,,Berlin (Charlottenburg),
