"Year","GC","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C14","C15"
"DateObject[{1875}, ""Year"", ""Gregorian"", -5.]",0,0,0,0,0,0,0,1,1,0,0,0,1,0
"DateObject[{1876}, ""Year"", ""Gregorian"", -5.]",2,0,0,0,1,0,0,0,0,0,0,0,1,1
"DateObject[{1877}, ""Year"", ""Gregorian"", -5.]",2,0,0,0,0,0,1,1,0,0,1,0,2,0
"DateObject[{1878}, ""Year"", ""Gregorian"", -5.]",1,2,2,1,1,0,0,0,0,0,1,0,1,0
"DateObject[{1879}, ""Year"", ""Gregorian"", -5.]",0,0,0,1,1,2,2,0,1,0,0,2,1,0
"DateObject[{1880}, ""Year"", ""Gregorian"", -5.]",0,3,2,1,1,1,0,0,0,2,1,4,3,0
"DateObject[{1881}, ""Year"", ""Gregorian"", -5.]",1,0,0,2,1,0,0,1,0,1,0,0,0,0
"DateObject[{1882}, ""Year"", ""Gregorian"", -5.]",1,2,0,0,0,0,1,0,1,1,2,1,4,1
"DateObject[{1883}, ""Year"", ""Gregorian"", -5.]",0,0,1,2,0,1,2,1,0,1,0,3,0,0
"DateObject[{1884}, ""Year"", ""Gregorian"", -5.]",3,0,1,0,0,0,0,1,0,0,2,0,1,1
"DateObject[{1885}, ""Year"", ""Gregorian"", -5.]",0,0,0,0,0,0,1,0,0,2,0,1,0,1
"DateObject[{1886}, ""Year"", ""Gregorian"", -5.]",2,1,0,0,1,1,1,0,0,1,0,1,3,0
"DateObject[{1887}, ""Year"", ""Gregorian"", -5.]",1,1,2,1,0,0,3,2,1,1,0,1,2,0
"DateObject[{1888}, ""Year"", ""Gregorian"", -5.]",0,1,1,0,0,1,1,0,0,0,0,1,1,0
"DateObject[{1889}, ""Year"", ""Gregorian"", -5.]",0,0,1,1,0,1,1,0,0,1,2,2,0,2
"DateObject[{1890}, ""Year"", ""Gregorian"", -5.]",1,2,0,2,0,1,1,2,0,2,1,1,2,2
"DateObject[{1891}, ""Year"", ""Gregorian"", -5.]",0,0,0,1,1,1,0,1,1,0,3,3,1,0
"DateObject[{1892}, ""Year"", ""Gregorian"", -5.]",1,3,2,0,1,1,3,0,1,1,0,1,1,0
"DateObject[{1893}, ""Year"", ""Gregorian"", -5.]",0,1,0,0,0,1,0,2,0,0,1,3,0,0
"DateObject[{1894}, ""Year"", ""Gregorian"", -5.]",1,0,0,0,0,0,0,0,1,0,1,1,0,0
